,business_id,name,city
1,QXAEGFB4oINsVuTFxEYKFQ,Emerald Chinese Restaurant,Mississauga
2,gnKjwL_1w79qoiV3IC_xQQ,Musashi Japanese Restaurant,Charlotte
11,1Dfx3zM-rW4n-31KeC8sJg,Taco Bell,Phoenix
13,fweCYi8FmbJXHCqLnwuk8w,Marco's Pizza,Mentor-on-the-Lake
14,-K4gAv8_vjx8-2BxkVeRkA,Baby Cakes,Willoughby
17,PZ-LZzSlhSe9utkQYU8pFg,Carluccio's Tivoli Gardens,Las Vegas
23,1RHY4K3BD22FK7Cfftn8Mg,Marathon Diner,Pittsburgh
25,tstimHoMcYbkSC4eBA1wEg,Maria's Mexican Restaurant & Bakery,Las Vegas
26,C9oCPomVP0mtKa8z99E3gg,Bakery Gateau,Toronto
29,NDuUMJfrWk52RA-H-OtrpA,Bolt Fresh Bar,Toronto
32,SP_YXIEwkFPPl_9anCYmpQ,The Steady Cafe & Bar,Toronto
33,irft4YkdNsww4DNf_Aftew,So Cool Frozen Yogurt,Charlotte
45,e_EMySqP0uwlVZfd8mRaaQ,Pearl Garden,Calgary
47,GWO87Y-IqL54_Ijx6hTYAQ,Bruster's Real Ice Cream,Gilbert
50,mlHC2XcU9Bows6cnYEmRgg,Mad Crush Wine Bar,Toronto
53,q2KtxnPa6rPSpAlMbg9l8g,Nothing Bundt Cakes,Scottsdale
54,c-BELKj0SvNhBesQMf-bKw,Circle K,Phoenix
61,6l00a9Gkxkcp_y-GPjYBiw,J's Fish & Chips,Newmarket
71,9UTpmQ4OhX5jNFUIu7dPPQ,Buk Chang Dong Soon Tofu,Mississauga
73,v-scZMU6jhnmV955RSzGJw,No. 1 Sushi Sushi,Pittsburgh
75,kANF0dbeoW34s2vwh6Umfw,Dairy Queen,Las Vegas
77,KFbUQ-RR2UOV62Ep7WnXHw,Westwood Bar & Grill,West Mifflin
78,44YFU284Z3KDEy25QyVoUw,Nee House Chinese Restaurant,Phoenix
80,PkDghu4aan2_wxrhXjTEgg,MiraKuru,Calgary
82,i_oghUPqLzzJtxC6Zm-D2A,Braseiro,MontrÃ©al
83,RFbMVekR8lU9tPJ8sWrwHg,Tavolino,Toronto
92,SWX0K1dpy4fcRq-ktZxmCg,Bistro des Moulins,MontrÃ©al
96,NPHZkn1e-tSJAbo8Zm9rYw,Burrito Bandidos,Toronto
97,smkZUv_IeYYj_BA6-Po7oQ,Fabulous Cakes and Confections Inc.,Vaughan
101,YK5eFV8uS1bCmp8GeiQ-Qg,All Star Donuts & Kolaches,Las Vegas
104,QHr_fc_TLnGfUEuDEa2jDg,PA Wine & Spirits Store,Wexford
107,jtlAfuINMCYVFpjwMgy2jw,Medium Rare,Toronto
111,X8mtoSxY8whtmbDlj0D3Aw,Imperial Asian Buffet,Las Vegas
113,7aLkFEBnL1LJmQdcuaovuQ,Ohio Beer Garden,North Olmsted
115,qJeSjOMgWB3er3UXG33ZVw,Carl's Jr,Calgary
116,gyFYZV4b_9TxG1ulQNi0Ig,Paramount Fine Foods,Toronto
119,OezwOIJ0_62Mj8MLdkGRAw,Aroma Espresso Bar,Toronto
120,0lFAD4CuWcQVl9u3-lRaCQ,Cruisers Bar and Grill,Hudson
121,aql8K6zVoJDGRJ3P-IgtpQ,Ume Fashion Sushi,Toronto
125,Kxbn0XLcCgQqmkdIkhuOeQ,Not Your Mother,Toronto
128,sKhDrZFCJqfRNylkHrIDsQ,Starbucks,Las Vegas
133,ysfeDcLAYk_MVzfBmyiSTg,Vals Getaway DES Cafeteria,Phoenix
135,bJP4l_BGq2CudEu0m-wNjg,Artisan Fine Dining Room,Las Vegas
137,Q1GhjqlLENaT383k9Ex5wg,Daily Donut,Peoria
139,1HRSElW1HgBiTtSNrhjMeA,Fine Asian Bowl,Toronto
141,L0aSDVHNXCl6sY4cfZQ-5Q,Mai Thai II,Concord
146,voZnDQs6Hs3YpNcS-9TALg,New Mexican Grill,Chandler
147,t-6tdxRaz7s9a0sf94Tguw,Impressionz,Pittsburgh
149,WlArCYe6xCzOe5u2Lt1how,Domino's Pizza,Etobicoke
156,jScBTQtdAt-8RshaiBEHgw,Served,Henderson
157,U3kygJOTlTQFlfaZS7sQjA,JJ's Red Hots - Dilworth,Charlotte
159,c35qzLN6ItDpVIoj2uQW4Q,Ravi Soups,Toronto
162,nsNONDHbV7Vudqh21uicqw,Salt Cellar,Scottsdale
163,jwHtNvHBPafiAwM92jM8yA,Little Caesars Pizza,Whitchurch-Stouffville
165,kGal388xLnmCwI4mw2TG8Q,J-C Foodland,Toronto
166,SvUvVEr9cTjS-PJQ9MuckQ,Caffeine,Toronto
169,RZ48zp2J2SWUy-lZ4PHZrw,Sanagan's Meat Locker,Toronto
172,IgQ8lSds3AgLFQsYsshUHQ,Gourmet Gringos,Toronto
173,v7ZFEEqJBg_r8NCwHRP_2A,Bistro Divino,Las Vegas
174,6fPQJq4f_yiq1NHn0fd11Q,La Creperie,Las Vegas
176,k-dDZvTeLysoJvjHI-qr9g,Feast Buffet,Las Vegas
177,5WMIvoMx3l1vn1uJ3HZB6Q,Subway,Pittsburgh
178,T_tnCsUQmqTMEI3XxJAyOA,Howlers Craft Burgers & Beer,Gastonia
180,spi9UEWyNrq2O4y5DD84LA,Restaurant Nhu Y,MontrÃ©al
181,Rs8Wi4OEjeOX7LVlzsXDOA,Sushi Mocorito,Phoenix
185,SJBzyJDCR_f6dx5tpYAABA,Kibo Sushi House,Toronto
187,MhnihE0alud0ereVInSt8Q,Yummy Yummy Chinese Restaurant,Scottsdale
189,wht5FaGi7r86WKW7-VX2lQ,Today's Market,Oakmont
190,111d13yLgIdqvpZekgVnbQ,Pallucci,Toronto
197,FDEm-c3NAXnTVtl-hgzAhA,Heart Attack Grill,Chandler
200,y-1sMhUMubrHWdIW4FaE8w,Wendy's,Madison
204,v8zKjH1o_qAI4SBd3na7gg,Barbie's,Laval
206,PWjgwphd2prhtqTPWwLbXw,Stage Deli Of Las Vegas,Las Vegas
207,aGdyRoDCn6Z9_j2vIvnKNw,Phil's Restaurants,Calgary
208,rVBPQdeayMYht4Uv_FOLHg,Gourmet Burger Company,Toronto
214,eY98EH_PHGnJVaJ7t2UpoQ,Pita Pit,Las Vegas
216,iwGhazq9eP51PSerTrMrwg,Mr G's Pub & Grub,Las Vegas
217,CPgz4srKkE5u9aoBAOaQsA,Davidson Pizza Company,Davidson
224,d9ftOq9cPFsicPSasP-IRw,Big Boy's Burgers,Pickering
225,CsLQLiRoafpJPJSkNX2h5Q,Middle East Deli,Charlotte
226,OwXMxqxIy4YoprAjnoUoiA,B & M Bar-B-Que Shaw,Cleveland
228,Sd75ucXKoZUM2BEfBHFUOg,China Gourmet,Mesa
229,VA232TY-ThR8L5wjuuLZVg,Sofra Mediterranean Cuisine,Richmond Hill
236,NqpX1HsFVGwmnxnw_bcEuA,Aux Derniers Humains,MontrÃ©al
238,NX88XnZQOVbaSVj1exilLA,Sacred Seed,Toronto
240,0G83H_zoum-Q4bWU2olTqQ,Bonjour Bakery & Deli,Las Vegas
243,U3-kxz7NWq4ix4bPmKKQ0w,Aladdin's Eatery,Mentor
249,IjGU7ZopsgeomsDQf20UXQ,Japanese Specialties,Las Vegas
254,TTVwcuc1Nz4ZSZH4wnbxKQ,Piazza Manna,North York
256,sRLczTc6OHuttVSanRfHaw,Wendy's,Mississauga
258,4Rp1y8L_zecjHt6AvKtekg,Factory,MontrÃ©al
259,9FPEg18SyYsKgbWZ0XDysQ,Carolina Cones,Cornelius
260,tWjfgVtTD5n01Cq9dFWGsA,Cibo,Calgary
262,lrYB3RSnr8OVrrqHhGMwPA,Sinaloa Tacos 2,North Las Vegas
263,CxRBRrtd7NHz890gWPG9AA,La Casa d'Italia Ristorante,Calgary
269,W3VBN9rTCG0iyAZSafKZ3w,Rocky Mountain Chocolate Factory,Mississauga
273,dUffgo9Lh_Vk9TLuFR5ywg,Oregano's Pizza Bistro,Phoenix
276,c7JoAt6a3Ufkpn3TrGU23A,Santanas Mexican Food,Phoenix
277,NAb3h3qC-12q5sjOzvIDHg,Starbucks,Gastonia
278,ZpjAltpV8mq-HGqsipocsA,Big Horn Restaurant,Boulder City
285,AXq8uPxqBP-c5PCrnba-4A,Mexico Lindo,Toronto
286,q4P3WHwC0lFafwvTlkKMIw,Ron's Pizza Palace,Pittsburgh
293,iyPtSR0s6EkvaQFbdJ_jVA,Pearl King,Toronto
294,hZj2HCiLae5-AxIp0im6lQ,Route 28 Bar & Grille,Pittsburgh
295,vwntGW400t5WG0ubjuaz5g,The Pit,Beachwood
297,Hj8gh-0IH739-ZhqUQn_Lg,Ricky's All Day Grill,Calgary
298,vg4ynLZ0yJ89pT4s_CEMzQ,Five Guys,Phoenix
300,XWa7nXOddOYKxojywngk8w,Body Food Kitchen,Las Vegas
302,e-9f6vasnWh3z0uOq287Aw,Pizza Hut,Phoenix
305,pUihHVilZtpZz4FApnOvtA,Mr Combo,North York
307,Qb4sJ4ssSX1clY2wEAOmsA,Trader Joe's,Henderson
308,_72dMXdWbVAgwB-Bxwz-mw,Champions Cuisine,Markham
309,LF66oShCh30k5NOV6pPJTQ,Flyjin CafÃ©,MontrÃ©al
311,9uhXxFrTR58KVD5fq1ua3Q,Jerry Ferrer,MontrÃ©al
315,ebDtlHODMCNmV1PrdNXKnA,Table Brick Oven & Bar,Murrysville
319,sohYJdSBaNhTPPqOOFc9QA,Game Mamba Studio,Tempe
321,TWa07Bllw_jfI2Y2Lry9DQ,Woody's Barbq,Calgary
327,ci3xUs8ZffvGhWfoioAL0Q,Arc Bar,Las Vegas
334,5GXKxdlJQOrmoPe0GXzJNA,Jardin Tiki,MontrÃ©al
335,GB3L81lYwu-GuyXrbnUpUQ,Best Friends Restaurant,Mentor
337,ItmLljzhwhuyyvekNs4Ymg,Jersey Mike's Subs,Middleton
340,8TBt9XAVZIZR2Y0EqBHskg,Cobblestone Auto Spa,Tempe
343,jX9DocoiY4Bo9EUkaTSqvg,China AAA,Henderson
346,ecJri9ozyke4dOCWulZiRQ,Nishikawa Ramen,Chandler
352,3e0IGa_-zqTemKLc1dbdmg,Phusion Cafe,Cleveland
353,xXtWrRKn8A708BfaNs1nZw,"Coffee, Tea, or Me",Las Vegas
354,yxAw_NtCqtvFPXGq4C1f5A,The Cedar Kitchen,Tottenham
355,iA9xu-6oOFynZQxO5qrauQ,DOC Holliday's Saloon,Henderson
356,mofOjB6flg-eAWOFbOkHfQ,ChinaTown Buffet,Champaign
362,6gorEMxDpiCTUmLXI5DCoQ,Tandoori Xpress,Laval
363,U1iF2RC18uBgBe01z5BMXw,Church's Chicken,Peoria
364,El6Bum4I-0VWJRgzbtscJQ,Jimmy John's,Wexford
367,trMrmg0EKcxEYAkqLBbRMA,Piggly's At the Fair,Mesa
374,QZ4GFIArBMGolsVi0XHgcA,Golden Flower Cafe,Richmond Hill
377,F6c3D1o9Z4Tl6cDorb3WgA,Hello Bistro,Pittsburgh
381,rtKB12BkQVb3x1e4diTIeA,Panera Bread,Chandler
384,CodoVn98WzIP2_NC18NuCw,Chez ma Grosse Truie ChÃ©rie,MontrÃ©al
387,JO5_Frcbp9J732VNn-I3Ew,Steak â€™n Shake,Brunswick
388,Ye6Bdtw2lq5Y6FeX-p377Q,Veltree,Charlotte
392,Ykn6eHLY8vPHuUH7UQrvxw,La Barista CafÃ©,Toronto
393,9MFcLXNi4pbqHsdrH9giZw,LaPaz Batchoy Toronto,Toronto
396,_WyTVGIhZIqesE4DLrcTvA,Ron's Restaurant,Monroe
406,j9YFHVQqxM_qKHIc4nck-A,Wong's Asian Cuisine,Scarborough
407,KAhavksKQwKbMzZHiNOyOQ,Gino's Restaurant,Madison
409,UdL8Z06DaNj6qhen0fEH9A,Mariscos El Dorado Sin,Phoenix
410,UZCfJ29B4MRIS3igABE_Ew,Gandhi International Market,Charlotte
411,nwxF9EKLOCpkScMF2utHDw,Ben & Jerry's,Charlotte
413,KZ9v7M1A5t6OMDghR64_5g,12 East Cafe,Phoenix
414,i_0rSAui4zaz4ydVaOZ6bQ,Marcello's Market & Deli,Toronto
415,6XImdD5qH_LFZhHeLjLaGQ,Arbys Restaurant Higley Rd,Mesa
417,L6R2Op88NkoG1EGxlVvdRQ,Bread & Roses Bakery Cafe,Toronto
422,BV5aMfFFDOvaWsSS-D5j9g,Osmow's,Oakville
424,mQkVFNSDpD4frPUMycVoWw,Solstice Restaurant & Wine Bar,Mississauga
425,Mq6qiz-Bxgd8VE6tBwCuUg,Starbucks,Brampton
426,Hdzo5ggPswyv-8ZlW0PVLw,Gelato 64,Chandler
428,nm5yx8yvJNJYVjaRPwjnsw,Misaki,Pittsburgh
431,m4DwPVxmFDQE_FnGIOa3cQ,Sunny China Buffet,Urbana
432,9VSPMQXgPdJ4rNgBPLJZ1A,Rosso Coffee Roasters,Calgary
433,cujI9gM6YlQr29cDhTBSAQ,Little Manila,Mississauga
434,wdsGP5rJinx0J5GcGzPQUw,TJ's Steakhouse,Las Vegas
435,UPh90LM8UMnVFQP6NGktrA,Cakes On the Move,Henderson
437,SZ5KO1KNiwtrktKo5mpuLA,Empress Court,Las Vegas
439,hXzoNgpkC86K_Jfg_zMHvA,PHO KC,Glendale
441,EVC1vn1KQ2uETnTbDWXc5w,Cadillac Jenkins,Toronto
444,4B8VnRAstRRshxiUzm9yPw,Maiko Sushi - DDO,Dollard-des-Ormeaux
445,8ELlbjnXfZAw4KbQRP3-EQ,Tomate Basilic,Pointe-Aux-Trembles
446,dtpFxDbBTBl90NyttDqoMg,2 Girls' Cafe & Bakery,Stow
452,NX1281ugzs2navHAX5X9cQ,Cha Me Cha,Markham
453,43PeF0ERpSIiEbXM6f9N2g,Megas Restaurant,Toronto
454,GiTv0gFXtYFQAzCXnPvepQ,Chili's,Charlotte
457,tylsscXmLq03-DzGI36bIA,Squaw Peak Cafe,Phoenix
464,LEOvXK3lMEfjnex3CPvrng,Albinas Italian American Bakery,Las Vegas
465,G7sVtpD6aqpuUB4F3LEG_w,Hoche CafÃ©,MontrÃ©al
468,zfOum9_rEhaLAqoAV3nYaQ,Naya Mediterranean Cuisine,Scottsdale
