,user_id,city
0,2K62MJ4CJ19L8Tp5pRfjfQ,Mississauga
1,A0kENtCCoVT3m7T35zb2Vg,Mississauga
2,SuOLY03LW5ZcnynKhbTydA,Mississauga
3,lymyUak6KNcNKoDbK87MiQ,Mississauga
4,6vU0I5XgCv9OQHZ76rV6qw,Mississauga
5,nyL_LfmAaf15o8aj7WHnPw,Mississauga
6,-ga7pQvnJcMB1_pIapHQRQ,Mississauga
7,agqWketq-FhYwVmRyli4jA,Mississauga
8,02AgiiwLg_XAhkvG-wGZKQ,Mississauga
9,paYZw5wsS25IzzBZtijB8A,Mississauga
10,nCqOSH2I6-k93B04FwouIA,Mississauga
11,U-L3aXEkYzDX5J8w8lLbCQ,Mississauga
12,R-xGsTpwlwuOe_vAbg_aeA,Mississauga
13,Y598FH7fNMq45DkVSbN0DA,Mississauga
14,KmHtoogKhK-ID7FWGOPvag,Mississauga
15,7szRk9_Fs68aJrb04r-sbQ,Mississauga
16,o_DeoZ0Ogu32D18cgEDkbA,Mississauga
17,7DBDjEN6SnVgLe5zWOe-FA,Mississauga
18,U6m0prDFGql_LkXredF0-A,Mississauga
19,79Oujo22kxeFf_d9sz1F3g,Mississauga
20,fQk7tJKxXhc9S8vEZwRYCA,Mississauga
21,g9xWuPtBrZ7ajjESXHgQYg,Mississauga
22,ytEi22nfhGNHZxfzLRRj3w,Mississauga
23,0mjFS4eWKJCYwBwO7DU8jw,Mississauga
24,QWSiTs6VS6BDraj-j9huAg,Mississauga
25,PkRFSQgSfca9Tamq7b2LdQ,Mississauga
26,yCtAc7BXSYdHWQYSvsGrFw,Mississauga
27,zWWcik1fRPZviBCQLC26FQ,Mississauga
28,9R_WvU71wwV9mMSHhATfbg,Mississauga
29,kxXr01bsJDQ_OdNWVZafGA,Mississauga
30,_1Ol88yKJobuU81JElTlaw,Mississauga
31,dQF4hwQRJXCcSKCTx2CReQ,Mississauga
32,zkwsOfvvbAm_7nQaFy2kTA,Mississauga
33,skxAQWpAe1VL_3F4pxqK2A,Mississauga
34,0BBUmH7Krcax1RZgbH4fSA,Mississauga
35,6HN4_3SNCjCZuF2mybb3Pw,Mississauga
36,vUKhlfC0M5qsVBMZ0MFMgA,Mississauga
37,lBGVeg4UwkwNSFksSiiR4A,Mississauga
38,WVTxk0-DxPKJ7TckvUx_dA,Mississauga
39,PGeiszoVusiv0wTHVdWklA,Mississauga
40,CmahoXBP17HudYGYt2Brdg,Mississauga
41,HEK5DElxXE8D9GC8d68eJA,Mississauga
42,CgykWr6-_NziqvQ1fAcG2Q,Mississauga
43,_hsruQCw6UTnjlQiuSpScg,Mississauga
45,_Qo3hrStAbynjN9_m-CWRw,Mississauga
46,surYJl8z-WOxqroyYgvmYg,Mississauga
47,igWmPjsg6_gwrQhcuBwPfA,Mississauga
48,Gdmvzlu6FiRNBZrONA1o8g,Mississauga
49,Qb8sDTzr54wRtT9hm1ZBCg,Mississauga
50,3uwcea9F-Q1b-u9p8II5xg,Mississauga
51,hyvR2B4uxhHtx3WifjgsjQ,Mississauga
52,22dQwG25J7BK56sLIFqwEA,Mississauga
53,TjsBbWAfwxWEXPxaLNv5SQ,Mississauga
54,7YPYg-P2YKs5rQf9wjeEUg,Mississauga
55,qMHHTtG-XZ1SPWu6sKY9TQ,Mississauga
56,PQdF5ERmxe8Fz1Lo6NOU7Q,Mississauga
57,uiHXWOoDtIjTWXZOB-mjAA,Mississauga
58,3UGXA8DKKQxxI50EOVJKNQ,Mississauga
59,PAW8L8ayyPualTXBRVgV5w,Mississauga
60,7SXMK8xGbTYnxbDhemjmug,Mississauga
61,DuzZ68TZWlQ3mALJZ0ASVQ,Mississauga
62,aIqDek9d1fDEgLIAWXMGSA,Mississauga
64,YpAcQN1xAjNn6bgljBLPxQ,Mississauga
65,5i8f_qKmYjBuRODEa_XQMw,Mississauga
66,_1U_RyYbonRFbTVPLAlWFg,Mississauga
67,HRgs_U_fffmj2VYJlxJq5Q,Mississauga
68,nkFa8VveW1ph2ibE7EsKBw,Mississauga
69,n_aaYAcK90v-LDKGLPxppQ,Mississauga
70,BF7rMYMH6OvJOBIQhsnQvg,Mississauga
71,Ka9sXowHigv277qidbxSHA,Mississauga
