;title;genres;user
0;Affair in Trinidad (1952);Drama|Film-Noir|Musical|Thriller;14
1;Radioactive Dreams (1985);Action|Comedy|Film-Noir|Musical|Sci-Fi;14
2;Jesus Christ Vampire Hunter (2001);Action|Comedy|Horror|Musical;14
3;Moon 44 (1990);Action|Film-Noir|Sci-Fi|Thriller;14
4;Sweeney Todd: The Demon Barber of Fleet Street (2007);Drama|Horror|Musical|Thriller;14
5;Phantom of the Opera (1943);Horror|Musical|Thriller;14
23262;Interstellar (2014);Sci-Fi|IMAX;14
12559;Dark Knight, The (2008);Action|Crime|Drama|IMAX;14
523;Schindler's List (1993);Drama|War;14
11425;Prestige, The (2006);Drama|Mystery|Sci-Fi|Thriller;14
0;Angel Heart (1987);Film-Noir|Horror|Mystery|Thriller;75
1;Deadline at Dawn (1946);Film-Noir|Mystery|Romance|Thriller;75
2;Invisible Ghost (1941);Action|Horror|Mystery|Thriller;75
3;The Final Storm (2010);Action|Horror|Mystery|Thriller;75
4;7500 (2014);Action|Horror|Mystery|Thriller;75
5;Fog, The (2005);Action|Horror|Mystery|Thriller;75
293;Pulp Fiction (1994);Comedy|Crime|Drama|Thriller;75
3918;Snatch (2000);Comedy|Crime|Thriller;75
352;Forrest Gump (1994);Comedy|Drama|Romance|War;75
1067;Reservoir Dogs (1992);Crime|Mystery|Thriller;75
0;The Brides of Fu Manchu (1966);Action|Crime|Horror|Sci-Fi;176
1;Grindhouse (2007);Action|Crime|Horror|Sci-Fi|Thriller;176
2;Ghost Warrior (1986);Action|Crime|Horror|Sci-Fi;176
3;Cyber City Oedo 808 (1990);Action|Animation|Crime|Horror|Sci-Fi;176
4;The Guyver: Bio-Booster Armor (1989);Action|Animation|Horror|Sci-Fi;176
5;Gantz: O (2016);Action|Animation|Horror|Sci-Fi;176
23262;Interstellar (2014);Sci-Fi|IMAX;176
12559;Dark Knight, The (2008);Action|Crime|Drama|IMAX;176
2487;Matrix, The (1999);Action|Sci-Fi|Thriller;176
11425;Prestige, The (2006);Drama|Mystery|Sci-Fi|Thriller;176
0;Day Watch (Dnevnoy dozor) (2006);Action|Fantasy|Horror|Thriller;206
1;Underworld: Rise of the Lycans (2009);Action|Fantasy|Horror|Thriller;206
2;The Prophecy: Uprising (2005);Action|Fantasy|Horror|Thriller;206
3;Legion (2010);Action|Fantasy|Horror|Thriller;206
4;Blade: Trinity (2004);Action|Fantasy|Horror|Thriller;206
5;Abraham Lincoln: Vampire Hunter (2012);Action|Fantasy|Horror|Thriller;206
11386;Departed, The (2006);Crime|Drama|Thriller;206
7042;Lord of the Rings: The Return of the King, The (2003);Action|Adventure|Drama|Fantasy;206
4898;Lord of the Rings: The Fellowship of the Ring, The (2001);Adventure|Fantasy;206
5854;Lord of the Rings: The Two Towers, The (2002);Adventure|Fantasy;206
0;Singapore (1947);Action|Adventure|Crime|Film-Noir|Romance;214
1;Cyber City Oedo 808 (1990);Action|Animation|Crime|Horror|Sci-Fi;214
2;Gun Fury (1953);Action|Adventure|Crime|Western;214
3;Sin City (2005);Action|Crime|Film-Noir|Mystery|Thriller;214
4;Death Proof (2007);Action|Adventure|Crime|Horror|Thriller;214
5;Moscow Zero (2006);Action|Adventure|Crime|Horror;214
23262;Interstellar (2014);Sci-Fi|IMAX;214
12559;Dark Knight, The (2008);Action|Crime|Drama|IMAX;214
11425;Prestige, The (2006);Drama|Mystery|Sci-Fi|Thriller;214
4133;Memento (2000);Mystery|Thriller;214
0;Toy Story (1995);Adventure|Animation|Children|Comedy|Fantasy;233
1;Jumanji (1995);Adventure|Children|Fantasy;233
2;Grumpier Old Men (1995);Comedy|Romance;233
3;Waiting to Exhale (1995);Comedy|Drama|Romance;233
4;Father of the Bride Part II (1995);Comedy;233
5;Heat (1995);Action|Crime|Thriller;233
2874;Fight Club (1999);Action|Crime|Drama|Thriller;233
23262;Interstellar (2014);Sci-Fi|IMAX;233
12559;Dark Knight, The (2008);Action|Crime|Drama|IMAX;233
46;Seven (a.k.a. Se7en) (1995);Mystery|Thriller;233
0;Alex Cross (2012);Action|Crime|Mystery|Thriller;248
1;Bulldog Drummond Comes Back (1937);Action|Crime|Mystery|Thriller;248
2;Baby (2015);Action|Crime|Mystery|Thriller;248
3;The Payoff (1942);Action|Crime|Mystery|Thriller;248
4;Requiem per un agente segreto (1966);Action|Crime|Mystery|Thriller;248
5;Overheard 3 (2014);Action|Crime|Mystery|Thriller;248
12356;There Will Be Blood (2007);Drama|Western;248
3074;Magnolia (1999);Drama;248
8191;Shaun of the Dead (2004);Comedy|Horror;248
11688;Hot Fuzz (2007);Action|Comedy|Crime|Mystery;248
0;Objective, The (2008);Horror|Sci-Fi|Thriller|War;321
1;Soldiers Of The Damned (2015);Action|Horror|Thriller|War;321
2;Ghost Recon: Alpha (2012);Action|Sci-Fi|Thriller|War;321
3;Moon 44 (1990);Action|Film-Noir|Sci-Fi|Thriller;321
4;Crimson Tide (1995);Drama|Thriller|War;321
5;The Rig (2010);Action|Horror|Sci-Fi|Thriller;321
23262;Interstellar (2014);Sci-Fi|IMAX;321
12559;Dark Knight, The (2008);Action|Crime|Drama|IMAX;321
11425;Prestige, The (2006);Drama|Mystery|Sci-Fi|Thriller;321
4133;Memento (2000);Mystery|Thriller;321
0;Ninth Gate, The (1999);Fantasy|Horror|Mystery|Thriller;339
1;Styria (2013);Fantasy|Horror|Mystery|Thriller;339
2;Hypersomnia (2016);Fantasy|Horror|Mystery|Thriller;339
3;Dagon (2001);Fantasy|Horror|Mystery|Thriller;339
4;Heartless (2009);Fantasy|Horror|Mystery|Thriller;339
5;Red Riding Hood (2011);Fantasy|Horror|Mystery|Thriller;339
2874;Fight Club (1999);Action|Crime|Drama|Thriller;339
293;Pulp Fiction (1994);Comedy|Crime|Drama|Thriller;339
49;Usual Suspects, The (1995);Crime|Mystery|Thriller;339
46;Seven (a.k.a. Se7en) (1995);Mystery|Thriller;339
0;Trumpet of the Swan, The (2001);Animation|Drama|Musical;449
1;Björk: Volumen (1999);Animation|Musical;449
2;American Pop (1981);Animation|Musical;449
3;Peter & the Wolf (2006);Animation|Musical;449
4;Pebble and the Penguin, The (1995);Animation|Musical;449
5;King of Jazz (1930);Animation|Musical;449
33594;Jack Brown: Genius (1996);(no genres listed);449
7042;Lord of the Rings: The Return of the King, The (2003);Action|Adventure|Drama|Fantasy;449
4898;Lord of the Rings: The Fellowship of the Ring, The (2001);Adventure|Fantasy;449
5854;Lord of the Rings: The Two Towers, The (2002);Adventure|Fantasy;449
0;Jesus Christ Vampire Hunter (2001);Action|Comedy|Horror|Musical;540
1;Radioactive Dreams (1985);Action|Comedy|Film-Noir|Musical|Sci-Fi;540
2;Carnage Park (2016);Action|Crime|Horror|Thriller;540
3;Red State (2011);Action|Crime|Horror|Thriller;540
4;Cold & Dark (2005);Action|Crime|Horror|Thriller;540
5;Maniac Cop (1988);Action|Crime|Horror|Thriller;540
44797;Born Equal (2006);Drama;540
2874;Fight Club (1999);Action|Crime|Drama|Thriller;540
46;Seven (a.k.a. Se7en) (1995);Mystery|Thriller;540
583;Terminator 2: Judgment Day (1991);Action|Sci-Fi;540
0;Gallowwalkers (2012);Action|Horror|Sci-Fi|Western;574
1;Station West (1948);Action|Mystery|Romance|Western;574
2;Twice-Told Tales (1963);Horror|Mystery|Romance|Sci-Fi;574
3;The Bride (1985);Horror|Romance|Sci-Fi|Thriller;574
4;Desperado (1995);Action|Romance|Western;574
5;Beloved Enemy (1979);Action|Horror|Mystery|Romance;574
34615;Night Of The Twisters (1996);Action|Drama;574
13423;Repo! The Genetic Opera (2008);Fantasy|Horror|Musical;574
4792;One, The (2001);Action|Sci-Fi|Thriller;574
3322;Final Destination (2000);Drama|Thriller;574
0;Lodger, The (1944);Crime|Horror|Mystery|Thriller;599
