,title,genres,user
0,Singapore Sling (Singapore sling: O anthropos pou agapise ena ptoma) (1990),Crime|Film-Noir|Horror|Romance|Thriller,1372.0
1,Backfire (1950),Crime|Film-Noir|Mystery|Romance|Thriller,1372.0
2,I Wake Up Screaming (1941),Crime|Film-Noir|Mystery|Romance|Thriller,1372.0
3,Fallen Angel (1945),Crime|Film-Noir|Mystery|Romance,1372.0
4,Maniac (1963),Crime|Horror|Mystery|Romance|Thriller,1372.0
5,Idle Mist (Vana Espuma) (1998),Crime|Horror|Mystery|Sci-Fi,1372.0
290,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,1372.0
1480,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi,1372.0
7320,Man on Fire (2004),Action|Crime|Drama|Mystery|Thriller,1372.0
17610,Drive (2011),Crime|Drama|Film-Noir|Thriller,1372.0
0,Tekkonkinkreet (Tekkon kinkurîto) (2006),Action|Adventure|Animation|Crime|Fantasy,1464.0
1,Son of Batman (2014),Action|Adventure|Animation|Crime|Fantasy,1464.0
2,"Rescuers, The (1977)",Adventure|Animation|Children|Crime|Drama,1464.0
3,The Last Drop (2006),Action|Adventure|Crime|War,1464.0
4,Beyond Rangoon (1995),Adventure|Drama|War,1464.0
5,Scooby-Doo! and the Gourmet Ghost (2018),Adventure|Animation|Crime,1464.0
33847,Top of the World (1998),Action|Drama|Thriller,1464.0
28441,Styx (2001),Action|Crime|Thriller,1464.0
2487,"Matrix, The (1999)",Action|Sci-Fi|Thriller,1464.0
213,Before Sunrise (1995),Drama|Romance,1464.0
0,Moon 44 (1990),Action|Film-Noir|Sci-Fi|Thriller,1507.0
1,Dead Sea (2014),Action|Horror|Sci-Fi|Thriller,1507.0
2,Lake Placid 3 (2010),Action|Horror|Sci-Fi|Thriller,1507.0
3,Mutant Hunt (1987),Action|Horror|Sci-Fi|Thriller,1507.0
4,Embryo (1976),Action|Horror|Sci-Fi|Thriller,1507.0
5,Alien vs. Ninja (2010),Action|Horror|Sci-Fi|Thriller,1507.0
5,Heat (1995),Action|Crime|Thriller,1507.0
1251,Night on Earth (1991),Comedy|Drama,1507.0
1237,Groundhog Day (1993),Comedy|Fantasy|Romance,1507.0
13411,Chinese Coffee (2000),Drama,1507.0
0,The Last Drop (2006),Action|Adventure|Crime|War,1513.0
1,Beyond Rangoon (1995),Adventure|Drama|War,1513.0
2,Singapore Sling (Singapore sling: O anthropos pou agapise ena ptoma) (1990),Crime|Film-Noir|Horror|Romance|Thriller,1513.0
3,"Black Cat, The (1934)",Adventure|Crime|Horror|Thriller,1513.0
4,Moscow Zero (2006),Action|Adventure|Crime|Horror,1513.0
5,Death Proof (2007),Action|Adventure|Crime|Horror|Thriller,1513.0
315,"Shawshank Redemption, The (1994)",Crime|Drama,1513.0
352,Forrest Gump (1994),Comedy|Drama|Romance|War,1513.0
3061,"Green Mile, The (1999)",Crime|Drama,1513.0
602,Fargo (1996),Comedy|Crime|Drama|Thriller,1513.0
0,Dagon (2001),Fantasy|Horror|Mystery|Thriller,1517.0
1,Shutter (2004),Fantasy|Horror|Mystery|Thriller,1517.0
2,Styria (2013),Fantasy|Horror|Mystery|Thriller,1517.0
3,Red Riding Hood (2011),Fantasy|Horror|Mystery|Thriller,1517.0
4,Hypersomnia (2016),Fantasy|Horror|Mystery|Thriller,1517.0
5,Heartless (2009),Fantasy|Horror|Mystery|Thriller,1517.0
2874,Fight Club (1999),Action|Crime|Drama|Thriller,1517.0
293,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,1517.0
46,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1517.0
1067,Reservoir Dogs (1992),Crime|Mystery|Thriller,1517.0
