,movieId,Cat1,Cat2,Cat3,Cat4
0,1,Adventure,Animation,Children,Comedy
1,2,Adventure,Children,Fantasy,
2,3,Comedy,Romance,,
3,4,Comedy,Drama,Romance,
4,5,Comedy,,,
5,6,Action,Crime,Thriller,
6,7,Comedy,Romance,,
7,8,Adventure,Children,,
8,9,Action,,,
9,10,Action,Adventure,Thriller,
10,11,Comedy,Drama,Romance,
11,12,Comedy,Horror,,
12,13,Adventure,Animation,Children,
13,14,Drama,,,
14,15,Action,Adventure,Romance,
15,16,Crime,Drama,,
16,17,Drama,Romance,,
17,18,Comedy,,,
18,19,Comedy,,,
19,20,Action,Comedy,Crime,Drama
20,21,Comedy,Crime,Thriller,
21,22,Crime,Drama,Horror,Mystery
22,23,Action,Crime,Thriller,
23,24,Drama,Sci-Fi,,
24,25,Drama,Romance,,
25,26,Drama,,,
26,27,Children,Drama,,
27,28,Drama,Romance,,
28,29,Adventure,Drama,Fantasy,Mystery
29,30,Crime,Drama,,
30,31,Drama,,,
31,32,Mystery,Sci-Fi,Thriller,
32,33,Adventure,Romance,IMAX,
33,34,Children,Drama,,
34,35,Drama,Romance,,
35,36,Crime,Drama,,
36,37,Documentary,IMAX,,
37,38,Children,Comedy,,
38,39,Comedy,Romance,,
39,40,Drama,,,
40,41,Drama,War,,
41,42,Action,Crime,Drama,
42,43,Drama,,,
43,44,Action,Adventure,Fantasy,
44,45,Comedy,Drama,Thriller,
45,46,Drama,Romance,,
46,47,Mystery,Thriller,,
47,48,Animation,Children,Drama,Musical
48,49,Drama,Romance,,
49,50,Crime,Mystery,Thriller,
50,51,Action,Drama,Thriller,
51,52,Comedy,Drama,Romance,
52,53,Adventure,Drama,,
53,54,Children,Comedy,,
54,55,Drama,,,
55,56,Adventure,Children,Comedy,Fantasy
56,57,Drama,,,
57,58,Comedy,Drama,Romance,
58,59,Drama,Mystery,,
59,60,Adventure,Children,Fantasy,
60,61,Drama,Thriller,,
61,62,Drama,,,
62,63,Comedy,Crime,,
63,64,Comedy,Romance,,
64,65,Comedy,,,
65,66,Action,Sci-Fi,Thriller,
66,67,Drama,,,
67,68,Comedy,Romance,,
68,69,Comedy,,,
69,70,Action,Comedy,Horror,Thriller
70,71,Action,,,
71,72,Comedy,Drama,,
72,73,Drama,War,,
73,74,Drama,Romance,,
74,75,Comedy,Drama,,
75,76,Action,Sci-Fi,Thriller,
76,77,Documentary,,,
77,78,Action,Crime,Drama,Thriller
78,79,Drama,Thriller,,
79,80,Children,Drama,,
80,81,Crime,Drama,Romance,
81,82,Comedy,Drama,,
82,83,Drama,Romance,,
83,84,Comedy,Drama,,
84,85,Drama,Romance,,
85,86,Action,Adventure,Drama,
86,87,Children,Comedy,,
87,88,Comedy,,,
88,89,Action,Thriller,,
89,90,Drama,,,
90,92,Drama,Horror,Thriller,
91,93,Comedy,Horror,Romance,
92,94,Comedy,Drama,Romance,
93,95,Action,Adventure,Thriller,
94,96,Comedy,Drama,,
95,97,Crime,Drama,,
96,98,Action,Thriller,,
97,99,Documentary,,,
98,100,Drama,Thriller,,
99,101,Adventure,Comedy,Crime,Romance
100,102,Comedy,,,
101,103,Mystery,Sci-Fi,Thriller,
102,104,Comedy,,,
103,105,Drama,Romance,,
104,106,Comedy,Drama,,
105,107,Adventure,Children,Comedy,Musical
106,108,Documentary,,,
107,109,Comedy,Drama,Thriller,
108,110,Action,Drama,War,
109,111,Crime,Drama,Thriller,
110,112,Action,Adventure,Comedy,Crime
111,113,Drama,Mystery,,
112,114,Drama,,,
113,115,Comedy,,,
114,116,Documentary,,,
115,117,Crime,Drama,,
116,118,Comedy,Romance,,
117,119,Comedy,,,
118,120,Adventure,Comedy,Drama,
119,121,Drama,,,
120,122,Comedy,Romance,,
121,123,Drama,Mystery,Romance,
122,124,Drama,,,
123,125,Comedy,,,
124,126,Adventure,Children,Fantasy,
125,127,Drama,,,
126,128,Documentary,,,
127,129,Comedy,Romance,,
128,130,Drama,,,
129,131,Drama,Romance,,
130,132,Thriller,,,
131,133,Comedy,Drama,,
132,134,Documentary,,,
133,135,Comedy,,,
134,136,Documentary,,,
135,137,Documentary,,,
136,138,Drama,,,
137,139,Action,Drama,,
138,140,Drama,Romance,,
139,141,Comedy,,,
140,142,Drama,,,
141,143,Drama,,,
142,144,Comedy,,,
143,145,Action,Comedy,Crime,Drama
144,146,Adventure,Children,,
145,147,Drama,,,
146,148,Drama,,,
147,149,Crime,Drama,Thriller,
148,150,Adventure,Drama,IMAX,
149,151,Action,Drama,Romance,War
150,152,Drama,Horror,,
151,153,Action,Adventure,Comedy,Crime
152,154,Drama,,,
153,155,Adventure,Drama,War,
154,156,Comedy,Drama,,
155,157,Comedy,War,,
156,158,Adventure,Children,,
157,159,Crime,Drama,Mystery,
158,160,Action,Adventure,Mystery,Sci-Fi
159,161,Drama,Thriller,War,
160,162,Documentary,,,
161,163,Action,Romance,Western,
162,164,Crime,Film-Noir,Mystery,Thriller
163,165,Action,Crime,Thriller,
164,166,Comedy,Crime,Drama,
165,167,Drama,,,
166,168,Action,Drama,Romance,
167,169,Adventure,Children,Drama,
168,170,Action,Adventure,Crime,Thriller
169,171,Comedy,Drama,,
170,172,Action,Sci-Fi,Thriller,
171,173,Action,Crime,Sci-Fi,
172,174,Comedy,,,
173,175,Drama,,,
174,176,Comedy,,,
175,177,Horror,,,
176,178,Comedy,Drama,,
177,179,Drama,Romance,,
178,180,Comedy,Romance,,
179,181,Action,Children,,
180,182,Drama,Romance,,
181,183,Comedy,Horror,Thriller,
182,184,Drama,,,
183,185,Action,Crime,Thriller,
184,186,Comedy,Romance,,
185,187,Comedy,,,
186,188,Fantasy,Horror,Mystery,
187,189,Comedy,Fantasy,,
188,190,Thriller,,,
189,191,Drama,Romance,,
190,192,Documentary,,,
191,193,Drama,,,
192,194,Comedy,Drama,,
193,195,Comedy,Drama,Romance,
194,196,Horror,Sci-Fi,,
195,197,Drama,,,
196,198,Action,Crime,Drama,Mystery
197,199,Drama,Musical,Romance,
198,200,Thriller,,,
199,201,Drama,Fantasy,,
200,202,Drama,Romance,,
201,203,Comedy,,,
202,204,Action,,,
203,205,Comedy,Drama,,
204,206,Documentary,,,
205,207,Drama,Romance,,
206,208,Action,Adventure,Sci-Fi,
207,209,Drama,,,
208,210,Western,,,
209,211,Drama,,,
210,212,Adventure,Comedy,Crime,Mystery
211,213,Drama,,,
212,214,Drama,War,,
213,215,Drama,Romance,,
214,216,Comedy,,,
215,217,Drama,Thriller,,
216,218,Comedy,Drama,,
217,219,Drama,,,
218,220,Horror,,,
219,222,Drama,Romance,,
